Citation,Sentence number,Segment,Sentiment class,Translation,Relevant Lexicon,Comments
Ad M. Caes iv.12,1,"Nunc quoniam postrema parte epistulae tuae , quae meliuscule iam valere Faustinam nuntiasti , omnem mihi prorsus metum ac sollicitudinem depulisti , non alienum tempus videtur de meo adversus te amore remissius aliquid tecum et liberalius fabulandi ;",Positive,"Now, since you have quite dispelled all my fear and anxiety by the last part of your letter, in which you announced that Faustina was now somewhat better, it seems the very time for a little easy and unconstrained chat with you on my love for you;","meliuscule, metum, sollicitudinem, amore, liberalius",
,2,"nam ferme metu magno et pavore relevatis conceditur ludere aliquid atque ineptire . Ego quanto opere te diligam , non minus de gravibus et seriis experimentis quam plerisque etiam frivolis sentio . Quae aut cuiusmodi sint haec frivola indicabo .",Positive,"for those who are freed from a great fear and apprehension are generally allowed to indulge in a little playfulness and frivolity. I feel how dearly I love you, as much from weighty and serious proofs as also from many trifles. What these trifles are, and of what nature, I will point out.","metu, pavore, relevatis, ludere, ineptire, diligam, gravibus, seriis, frivolis, frivola",
,3,"Siquando te somno leni , ut poeta ait , placidoque revinctus video in somniis , numquam est quin amplectar et exosculer :",Positive,"Whenever “with soft slumber’s chains around me,” as the poet says, I see you in my dreams, there is never a time but I embrace and kiss you:",,
,4,tum pro argumento cuiusque somnii aut fleo ubertim aut exulto laetitia aliqua et voluptate . Hoc unum ex Annalibus sumptum amoris mei argumentum poeticum et sane somniculosum . ,Mixed,"then, according to the tenor of each dream, I either weep copiously or am transported with some great joy and pleasure. This is one proof of my love, taken from the Annals, a poetical and certainly a dreamy one.",,
,5,Accipe aliud rixatorium iam hoc et iurgiosum . Nonnumquam ego te coram paucissimis et familiarissimis meis gravioribus verbis absentem insectatus sum : ,Negative,"Listen to another, a quarrelsome and contentious one this time. I have occasionally inveighed against you behind your back in somewhat strong terms before a very few of my most intimate friends.",,
,6,"olim hoc quom tristior quam par erat in coetu hominum progrederere , vel quom in theatro tu libros vel in convivio lectitabas nec equidem tum theatris , necdum conviviis abstinebam tum igitur ego te durum et intempestivom hominem , odiosum etiam nonnumquam ira percitus appellabam .",Negative,"Time was I did this, when you went about in public gatherings with too serious a face, as when you used to read books either in the theatre or at a banquet---nor was I then refraining from theatres, nor as yet from banquets---on such occasions, then, I would call you an austere and unreasonable, even at times, stung by anger, a disagreeable sort of person.",,
,7,"Quod si quis alius eodem te convicio audiente me detrectaret , aequo animo audire non poteram .",Negative,"But if anyone else found fault with you in my hearing with similar detraction, I could not listen to him with any patience.",,
,8,Ita mihi facilius erat ipsum loqui quam alios de te secius quid dicere perpeti : ita ut Gratiam meam filiam facilius ipse percusserim quam ab alio percuti viderim.,Negative,So it was easier for me to say this of you myself than to suffer others to speak any ill of you: just as I could more easily strike my daughter Gratia myself than see her struck by another.,,
Ad M. Caes i.3.2,9,"Solet mea Domina parens tua interdum ioco dicere , se mihi quod a te tanto opere diligar invidere .",Positive,"My Lady, your mother, is wont at times to say in fun that she envies me for being loved so much by you.",,
,10,"Quid , si istas litteras tuas legerit , quibus tu deos etiam pro salute mea votis advocas et precaris ?",Positive,"What if she read this letter of yours, in which you even beseech the gods and invoke them with vows for my health?",,
